Object Tracking Data File Mon, Sep 15, 2025 7:54 PM
X (pixels)  	Y (pixels)  
396.03	605.13
393.84	605.93
391.64	600.67
394.43	597.93
395.49	599.75
394.65	605.12
394.86	607.79
395.37	605.16
397.53	607.05
405.60	607.42
402.03	606.20
405.45	609.54
402.78	611.60
404.63	611.66
407.25	613.44
410.70	616.78
407.74	615.50
413.85	612.96
414.28	610.22
416.65	610.18
414.81	618.09
417.48	620.39
417.63	624.58
417.52	620.18
417.18	623.77
423.39	620.72
421.45	622.75
419.65	623.18
423.59	627.65
420.42	634.13
426.44	634.80
426.95	634.81
427.98	634.68
425.38	636.28
421.13	639.00
427.27	646.55
425.42	645.79
427.61	650.59
429.01	655.51
434.78	656.50
430.98	654.06
428.69	656.81
435.71	655.70
437.36	655.06
434.81	657.26
436.30	653.66
436.53	653.48
439.21	657.20
438.94	664.03
443.29	663.70
440.47	671.75
438.57	679.25
439.21	671.35
439.38	671.22
442.39	668.18
440.81	663.29
442.75	661.47
444.84	653.24
448.88	653.77
446.63	663.59
447.94	666.44
446.07	667.24
449.85	664.31
448.60	662.61
452.05	668.08
447.99	669.12
447.73	660.71
449.28	667.51
453.22	668.26
458.80	673.24
464.14	674.08
463.98	680.36
465.90	681.05
466.15	674.29
470.92	677.91
466.27	678.87
472.40	686.61
475.84	688.28
473.29	689.96
471.40	696.75
470.00	702.29
471.81	706.28
474.17	707.83
479.68	705.24
478.21	708.43
475.27	711.75
469.87	709.58
473.00	710.46
472.82	719.15
472.82	709.19
469.42	715.22
472.49	711.27
472.46	709.85
475.55	712.10
475.85	709.27
472.68	706.01
475.20	703.76
475.41	706.48
472.65	705.85
477.28	708.88
480.94	707.23
478.40	707.44
480.28	706.40
485.79	705.11
487.96	705.12
485.59	704.77
483.20	703.04
486.86	703.49
488.70	702.67
493.85	702.21
498.09	702.81
504.62	710.37
500.93	712.31
499.58	713.74
497.42	714.56
494.90	708.11
494.82	705.95
491.22	705.26
491.74	706.61
491.70	704.33
