Object Tracking Data File Mon, Sep 15, 2025 7:25 PM
X (pixels)  	Y (pixels)  
352.40	692.82
347.29	691.89
355.84	695.39
354.82	703.17
355.38	705.97
359.90	701.31
356.07	699.04
360.78	696.37
361.01	692.49
364.85	694.30
368.72	689.66
366.52	696.16
368.04	688.45
364.08	682.16
361.02	676.27
366.36	676.60
364.02	671.26
361.43	674.14
359.16	681.06
357.21	678.59
363.21	679.31
360.96	685.67
365.24	684.68
364.62	684.14
367.94	683.22
363.84	684.01
365.61	686.77
363.59	691.74
360.25	690.44
358.80	689.08
363.80	689.58
364.55	688.32
363.38	685.54
365.74	685.30
361.26	687.54
362.05	692.25
361.98	693.76
354.91	696.74
357.60	692.06
362.24	687.67
356.05	683.39
350.73	685.11
355.81	687.71
352.03	685.81
354.95	689.98
359.09	688.36
357.17	694.24
357.67	688.57
358.07	694.03
360.87	699.27
366.16	701.11
367.32	697.91
369.68	695.83
373.60	698.34
370.32	700.67
368.89	702.53
370.34	701.07
370.83	696.11
368.50	687.55
367.94	687.60
366.03	679.90
363.02	682.44
362.40	677.52
368.31	677.70
371.35	678.31
369.96	679.20
372.48	682.11
373.94	685.61
375.25	684.87
369.76	679.60
371.49	681.57
375.04	677.76
375.11	680.55
376.86	681.61
372.90	680.34
371.76	676.77
367.47	679.98
365.00	681.31
366.24	679.20
361.62	678.80
364.77	673.14
359.36	670.37
361.95	671.79
363.26	672.99
361.49	672.93
363.66	673.55
369.21	669.66
373.08	668.41
374.69	670.23
383.63	666.07
383.94	665.77
381.68	664.41
382.02	667.54
378.16	667.17
380.13	666.72
382.76	664.08
384.22	663.28
383.37	660.33
376.88	662.99
377.75	663.52
376.02	662.04
378.83	663.99
377.03	666.11
382.98	668.99
380.05	670.73
384.66	668.70
388.67	671.05
389.12	668.38
387.74	674.30
394.09	677.74
399.01	680.21
398.23	677.22
398.59	679.89
393.65	682.41
389.30	676.79
393.94	683.22
392.80	678.65
394.72	679.61
398.19	678.17
399.32	678.88
