Object Tracking Data File Mon, Sep 15, 2025 7:44 PM
X (pixels)  	Y (pixels)  
740.87	742.44
735.29	738.45
738.90	736.00
736.56	732.26
741.36	728.95
746.49	729.01
743.29	727.67
744.76	728.14
745.10	726.21
745.82	731.54
744.20	729.96
739.09	732.12
744.13	731.30
741.13	730.77
736.00	728.29
735.13	726.09
734.47	727.37
735.44	733.62
733.71	737.43
733.88	746.07
738.23	740.39
736.73	743.46
733.89	741.40
734.18	748.43
735.98	747.28
732.44	747.45
728.20	744.57
729.03	741.07
730.42	741.20
720.03	743.86
718.05	752.28
712.31	753.14
714.29	758.83
714.15	760.03
709.41	761.71
706.01	758.57
706.15	770.29
704.66	769.34
700.93	766.35
702.24	769.04
702.34	770.95
704.55	774.27
707.09	770.36
704.60	771.58
708.05	774.15
708.98	774.58
711.74	767.75
710.92	761.30
705.54	758.09
706.79	754.43
703.68	754.24
700.00	750.89
703.53	753.51
700.80	752.37
698.00	754.61
692.73	752.44
696.23	754.13
701.36	758.43
701.59	756.50
702.18	763.42
705.57	766.03
706.11	763.95
707.83	758.58
705.30	757.79
699.36	762.00
700.27	765.33
690.89	760.24
699.86	763.86
701.62	766.10
702.93	761.93
701.20	759.71
702.96	759.71
700.71	759.50
700.79	757.91
699.44	757.80
693.36	756.68
695.37	759.35
695.28	757.55
698.32	758.78
698.92	757.02
699.91	757.82
703.90	758.35
707.33	756.58
707.21	755.70
708.31	754.52
711.12	751.85
715.02	758.53
713.01	757.92
706.30	755.20
703.92	751.24
703.61	745.98
707.31	744.64
712.00	748.01
711.20	751.30
712.26	751.36
709.50	746.64
706.61	746.36
710.58	746.74
711.44	753.20
714.41	746.13
719.17	740.61
721.32	740.85
723.53	735.09
717.72	735.77
714.87	730.44
709.85	727.45
713.24	729.11
711.39	731.51
713.41	734.35
706.96	733.86
707.91	738.15
703.99	738.04
707.84	744.60
712.81	749.17
712.02	751.46
714.74	751.49
712.66	751.44
709.52	750.85
708.53	745.48
701.71	745.08
