Object Tracking Data File Mon, Sep 15, 2025 7:26 PM
X (pixels)  	Y (pixels)  
1116.03	651.45
1118.60	653.44
1116.69	652.65
1115.43	654.28
1116.95	650.41
1117.68	646.89
1115.05	650.15
1117.32	650.37
1118.23	651.74
1116.21	646.23
1118.59	644.04
1114.99	644.17
1115.27	645.94
1116.28	644.59
1117.36	643.58
1121.87	637.58
1127.49	636.95
1122.89	631.22
1118.19	633.17
1118.39	630.91
1119.70	624.25
1120.27	624.17
1120.79	616.97
1116.04	618.69
1123.61	612.46
1119.26	612.80
1120.54	612.93
1120.48	617.98
1119.72	619.20
1111.43	621.38
1107.03	628.00
1101.19	626.07
1104.84	626.44
1102.15	624.77
1103.44	621.67
1102.39	621.52
1099.72	629.14
1095.38	639.53
1096.34	641.24
1093.28	649.36
1093.48	652.79
1091.46	659.27
1093.09	654.69
1091.57	657.44
1093.02	657.53
1094.49	655.90
1098.16	661.05
1097.43	666.40
1099.44	665.05
1100.96	662.44
1101.25	659.36
1103.36	652.05
1102.54	651.21
1098.43	652.58
1105.39	650.97
1110.21	649.59
1107.81	650.30
1110.10	652.31
1109.16	644.94
1118.22	644.08
1114.73	641.88
1112.18	640.44
1110.99	643.28
1107.06	639.90
1106.24	636.24
1108.00	638.37
1107.28	634.88
1109.00	632.16
1110.79	630.30
1109.21	629.88
1111.25	632.53
1115.81	628.09
1117.52	626.91
1121.41	627.09
1116.01	629.67
1117.88	632.17
1115.86	628.25
1118.65	623.67
1117.17	624.88
1127.06	625.26
1125.18	627.56
1127.12	629.32
1125.16	636.90
1125.32	638.36
1124.43	641.87
1128.32	641.36
1130.28	641.99
1131.12	641.29
1131.13	645.02
1132.92	651.66
1136.92	654.91
1134.52	658.75
1138.68	657.00
1140.74	659.84
1135.05	657.17
1140.38	656.46
1140.36	655.28
1141.23	659.06
1134.21	659.26
1132.07	655.17
1133.80	655.68
1128.36	657.75
1127.31	660.97
1133.72	664.79
1137.61	659.81
1137.12	657.56
1141.20	657.36
1147.21	650.56
1152.05	651.04
1153.46	652.66
1157.50	657.09
1157.46	661.34
1161.99	661.12
1162.44	668.14
1162.45	667.73
1163.38	670.17
1163.44	669.57
1166.51	667.01
1162.55	663.47
1165.28	661.40
