Object Tracking Data File Mon, Sep 15, 2025 7:23 PM
X (pixels)  	Y (pixels)  
119.58	432.58
121.48	436.24
125.71	437.24
130.91	433.04
122.51	435.14
125.79	437.89
126.00	434.75
125.45	433.60
129.93	434.15
134.14	438.56
132.73	438.44
135.58	439.49
136.62	442.51
141.80	445.11
147.77	446.14
152.10	443.09
155.60	441.67
154.31	438.13
158.79	438.73
157.53	436.73
151.16	443.64
148.67	445.11
144.43	442.86
143.21	439.41
142.16	439.71
140.19	441.11
136.94	445.77
136.18	441.58
139.07	443.86
141.22	444.59
137.42	446.76
136.79	448.76
138.90	446.45
144.34	441.06
146.73	441.82
144.39	440.17
145.40	442.35
144.35	445.65
146.70	447.78
147.29	448.39
150.64	454.70
155.86	454.18
151.68	457.17
153.25	456.06
151.80	456.95
152.22	457.24
153.49	452.80
152.52	455.92
152.13	456.77
153.70	456.28
154.91	455.68
152.15	456.27
153.75	457.32
152.97	455.82
150.17	455.59
148.04	451.38
157.09	450.28
154.71	447.55
154.69	446.99
155.83	446.39
156.27	444.34
147.28	451.49
149.54	452.95
151.25	453.33
146.73	451.31
147.24	449.88
146.69	453.30
143.41	455.74
144.64	459.40
145.03	462.53
143.69	459.44
145.65	454.87
143.44	457.49
145.61	458.23
143.08	452.92
145.45	449.63
142.20	446.28
142.73	451.91
138.48	451.35
139.45	452.25
139.43	455.14
136.93	453.69
137.87	454.26
138.04	454.33
140.87	451.46
140.28	450.66
141.54	451.31
142.01	453.74
137.42	451.80
140.26	449.87
144.78	447.30
146.41	443.70
143.62	444.95
141.88	447.14
140.68	448.82
142.47	451.55
139.78	455.16
143.26	456.79
145.83	455.14
148.49	456.37
149.87	453.22
150.88	454.56
148.11	453.76
149.17	456.72
145.64	453.65
146.61	450.54
139.22	448.71
138.39	442.72
133.49	446.92
133.40	446.77
135.71	443.46
134.53	451.97
133.69	450.75
135.01	450.43
131.84	452.21
131.08	458.11
127.89	459.04
132.31	457.01
131.42	460.51
131.59	462.04
