Object Tracking Data File Mon, Sep 15, 2025 7:38 PM
X (pixels)  	Y (pixels)  
683.46	329.85
677.87	333.19
674.28	335.55
679.99	338.11
679.90	340.68
681.32	342.11
680.22	345.14
678.71	341.25
678.81	337.71
678.64	332.61
675.80	334.14
672.01	328.99
672.92	331.24
674.13	329.94
676.27	328.80
678.13	329.51
678.20	326.70
674.01	324.71
672.40	325.52
674.50	324.79
675.36	325.87
681.61	321.81
680.20	319.35
677.74	316.44
674.34	310.60
677.54	309.52
680.11	303.30
676.84	308.53
675.31	311.60
678.98	308.54
683.34	316.80
686.97	317.40
686.91	323.13
685.37	330.19
685.88	333.87
683.01	335.47
677.60	339.14
679.67	337.50
679.81	347.47
675.97	347.18
685.87	341.36
686.96	344.98
686.94	347.43
685.88	345.03
680.62	342.66
682.23	346.31
685.81	348.32
685.43	349.81
686.42	350.62
686.75	348.63
685.49	348.44
685.38	348.55
684.56	351.46
686.05	352.65
681.47	352.44
682.35	352.77
684.92	354.74
687.14	352.39
686.01	352.55
685.64	352.44
684.46	354.07
684.53	355.65
685.21	353.23
683.99	358.26
682.56	360.30
675.82	359.73
675.23	356.97
672.27	357.10
670.83	356.58
668.33	356.91
673.72	356.85
670.30	358.13
673.18	359.92
672.93	353.09
673.33	348.71
672.52	351.02
674.79	350.03
676.91	354.73
677.49	353.23
678.30	351.32
677.59	348.18
680.28	349.58
683.24	354.84
682.39	355.21
686.81	357.61
689.83	360.27
686.98	362.87
688.60	364.60
689.26	362.87
690.73	362.69
687.67	366.03
686.12	368.68
684.13	367.36
682.71	364.13
683.09	364.92
683.88	358.93
684.52	359.24
683.88	354.00
680.70	353.44
680.73	353.12
680.63	361.31
680.25	365.71
680.10	364.88
674.78	363.69
673.24	364.59
670.50	361.61
677.20	365.77
676.13	366.34
678.19	369.21
675.28	372.24
668.99	371.59
665.00	375.43
664.84	381.04
662.07	384.30
657.46	389.50
657.39	391.99
651.72	392.86
646.03	389.65
645.87	385.93
646.75	382.90
