Object Tracking Data File Mon, Sep 15, 2025 7:47 PM
X (pixels)  	Y (pixels)  
350.26	131.96
349.69	134.55
351.87	134.93
351.50	135.86
343.90	134.88
344.96	141.51
344.84	141.22
342.29	142.08
342.40	142.91
339.25	141.45
343.65	141.13
341.57	136.64
343.62	134.61
341.63	136.51
348.41	137.74
344.98	137.78
346.51	138.06
347.80	138.28
344.97	142.04
343.08	148.79
336.20	155.34
341.50	155.01
330.57	153.41
326.63	153.38
322.82	150.37
323.15	148.64
320.56	144.66
317.90	152.25
323.77	150.42
325.60	149.29
325.38	144.98
325.39	146.04
326.52	139.61
319.37	140.33
324.79	136.41
325.10	137.00
325.29	136.75
328.21	133.56
329.34	132.47
324.45	134.17
327.06	126.51
330.98	125.22
330.93	125.14
339.41	123.88
337.99	115.48
339.27	119.43
339.52	122.57
338.29	131.52
334.60	133.77
330.00	125.74
330.53	121.95
329.07	126.62
333.36	133.02
336.57	129.93
336.55	130.72
330.81	126.41
329.35	122.20
331.00	122.21
331.85	123.87
331.54	128.70
332.02	121.91
335.64	120.98
336.18	120.36
340.16	122.77
331.58	117.78
332.04	119.87
334.99	122.21
329.18	123.14
328.48	116.87
328.86	115.67
328.12	123.24
331.18	119.94
333.79	119.29
332.67	121.38
334.26	124.08
332.34	122.35
334.30	124.75
338.57	122.53
339.40	121.65
343.11	125.03
343.48	118.48
348.46	116.09
351.35	115.22
354.46	116.11
354.76	119.47
351.42	120.17
346.70	119.03
347.52	122.06
347.71	129.54
346.28	125.39
340.04	125.47
343.23	125.26
341.07	124.86
340.19	122.88
344.07	122.83
339.31	127.11
342.99	127.48
346.48	127.73
347.29	129.27
346.73	128.01
342.73	128.82
342.47	130.06
342.17	126.85
342.45	125.01
343.29	126.96
346.97	131.07
349.33	138.14
354.24	142.06
356.05	151.17
359.61	154.05
361.68	154.59
361.01	155.10
362.35	151.37
359.52	150.03
356.96	149.86
355.57	148.95
350.72	150.40
350.34	151.57
347.55	152.14
345.96	149.81
