Object Tracking Data File Mon, Sep 15, 2025 7:52 PM
X (pixels)  	Y (pixels)  
698.71	231.70
697.27	231.19
701.12	233.14
706.71	234.54
709.80	232.51
713.93	231.62
720.96	232.77
715.98	231.90
711.60	223.97
706.93	226.96
701.50	228.01
698.34	234.82
701.41	230.64
701.08	234.59
704.33	233.62
709.92	240.09
713.94	231.74
715.45	235.56
718.45	241.13
718.20	246.30
716.40	247.08
715.45	249.58
720.36	254.65
725.00	257.61
722.20	254.20
721.90	253.86
719.87	252.28
720.86	249.73
717.66	248.22
720.55	249.02
720.64	246.01
725.12	250.79
720.63	250.71
719.33	245.19
715.38	244.67
715.51	246.26
709.55	248.86
705.31	247.98
701.64	247.28
697.78	245.73
700.41	244.38
696.16	250.50
697.06	250.37
698.66	250.74
699.80	251.62
695.06	255.96
692.08	254.15
691.20	255.39
697.46	258.23
700.53	264.03
705.99	264.54
706.51	265.91
710.25	268.64
709.32	272.97
706.39	275.89
702.87	278.58
700.67	283.86
699.29	285.94
698.31	284.91
706.55	283.27
699.22	281.56
693.19	288.12
685.61	287.78
694.87	277.00
695.00	275.86
695.62	277.66
698.66	280.31
700.73	280.51
697.44	280.19
697.41	279.84
699.92	281.64
705.75	280.53
706.04	279.72
708.56	278.13
706.89	287.32
705.61	289.42
710.23	291.13
706.28	296.83
704.67	297.18
709.17	297.96
709.19	297.99
708.87	291.76
704.68	292.20
704.78	289.59
707.16	294.50
704.32	294.10
702.75	294.22
708.60	298.34
703.51	301.71
701.68	301.80
703.77	301.99
697.94	300.37
694.84	297.24
695.04	297.81
692.06	299.01
689.54	298.03
694.07	298.11
689.94	298.79
686.79	301.01
690.27	301.94
685.42	305.88
686.78	304.35
683.27	303.86
686.00	299.52
685.87	294.09
683.80	297.03
682.01	298.34
684.93	299.55
686.95	305.14
688.65	302.24
689.76	305.55
695.97	306.65
694.12	305.79
694.83	308.41
688.51	308.32
691.85	310.36
699.59	313.89
702.27	314.10
705.03	309.18
705.47	309.63
