Object Tracking Data File Mon, Sep 15, 2025 7:40 PM
X (pixels)  	Y (pixels)  
1227.37	537.68
1224.95	533.37
1224.91	536.99
1229.13	536.90
1227.16	536.74
1224.65	537.29
1229.35	544.78
1225.63	548.01
1224.62	554.54
1220.91	554.20
1222.76	551.05
1221.77	551.60
1219.50	553.13
1219.37	556.88
1223.41	561.67
1223.50	553.32
1226.96	553.78
1228.95	556.48
1227.88	551.66
1221.23	543.17
1223.05	538.43
1222.78	533.37
1223.08	531.71
1218.23	533.43
1214.40	534.91
1217.19	537.65
1218.17	540.42
1223.37	535.61
1227.10	537.44
1222.81	539.79
1219.95	541.28
1211.65	542.14
1211.99	538.63
1216.47	534.67
1217.67	536.70
1218.31	535.09
1219.24	537.43
1218.37	537.86
1223.00	532.51
1220.95	533.98
1222.95	533.87
1221.92	534.99
1220.34	540.71
1220.22	541.77
1221.40	547.48
1217.78	552.87
1217.42	559.11
1220.84	561.50
1219.65	560.95
1219.86	557.80
1220.85	556.57
1220.74	560.72
1221.06	563.30
1220.21	562.66
1217.83	563.62
1213.56	559.50
1216.72	566.21
1223.92	565.50
1217.94	569.48
1218.15	569.13
1221.29	564.77
1217.59	565.86
1216.77	570.99
1214.01	572.90
1214.45	570.90
1212.78	567.65
1214.75	564.80
1217.21	566.36
1215.91	565.72
1217.76	561.70
1213.35	560.39
1216.09	565.18
1209.50	563.53
1213.40	562.07
1216.47	560.14
1213.08	553.45
1210.50	553.83
1206.86	553.49
1205.84	559.38
1202.55	558.90
1201.33	562.69
1203.98	566.01
1208.32	562.98
1206.78	565.12
1205.01	566.91
1202.91	563.29
1202.80	560.49
1198.97	558.74
1204.39	554.25
1201.36	552.80
1195.69	550.90
1194.91	554.90
1191.75	546.87
1192.82	544.78
1188.42	555.53
1187.77	547.52
1185.18	546.51
1183.31	551.41
1186.76	553.05
1186.19	555.91
1184.75	557.67
1180.15	559.63
1181.84	555.21
1173.33	557.39
1170.83	559.37
1175.67	560.14
1172.08	562.47
1165.78	561.31
1168.13	561.80
1167.58	563.12
1168.30	564.53
1167.98	569.03
1166.57	571.32
1160.96	574.48
1157.09	577.95
1156.98	575.71
1158.58	579.86
1150.93	579.86
1148.59	580.29
1146.88	581.50
