Object Tracking Data File Mon, Sep 15, 2025 7:46 PM
X (pixels)  	Y (pixels)  
835.07	248.90
834.97	248.29
837.62	253.11
834.58	262.19
835.02	256.38
837.97	258.53
836.53	257.01
839.60	256.45
840.20	254.39
836.71	258.78
831.48	261.26
826.72	264.59
825.14	262.41
820.75	264.11
826.94	264.89
828.45	269.05
828.80	269.56
827.58	264.30
827.66	267.58
826.53	268.27
822.74	267.61
823.83	271.12
817.05	271.33
815.68	265.34
817.53	266.15
820.45	266.78
820.14	261.09
816.48	261.20
822.50	257.27
822.72	256.76
821.15	255.41
819.68	254.74
818.08	259.13
819.42	258.45
825.74	255.06
830.29	260.58
827.13	254.48
825.96	253.82
833.03	255.27
834.91	259.42
833.55	252.86
832.34	252.63
829.18	250.13
836.75	253.50
839.32	253.66
839.26	259.07
838.58	258.18
838.55	265.55
839.04	275.95
842.41	272.63
843.54	272.66
835.78	269.50
840.29	268.44
844.96	267.56
840.24	268.15
838.05	267.24
838.26	264.63
827.71	263.65
832.17	267.38
828.29	263.40
827.66	264.82
823.00	266.81
823.24	272.27
821.91	281.48
821.87	278.03
822.63	269.03
821.55	270.27
824.91	269.53
819.50	266.25
818.25	264.53
812.19	265.52
806.13	259.16
808.19	259.49
806.58	267.39
804.94	268.06
811.69	270.08
809.50	279.86
808.40	278.78
807.79	285.16
813.26	287.22
812.16	292.69
814.54	293.11
817.43	291.25
812.94	293.78
814.55	287.65
820.53	293.15
828.59	292.66
828.16	293.79
822.26	300.19
823.19	299.24
823.01	297.94
822.94	293.31
824.67	291.41
818.01	292.49
817.08	296.83
811.26	300.86
811.59	308.92
812.51	303.61
812.27	303.73
810.13	303.61
808.08	305.68
802.72	298.91
796.13	299.35
793.67	298.64
794.70	298.19
790.32	302.45
792.11	298.76
790.60	296.44
793.73	299.16
786.86	293.28
789.08	296.67
785.44	297.85
787.04	294.71
785.25	297.97
786.90	300.52
787.82	296.27
783.61	297.70
779.15	298.54
783.95	301.97
784.46	303.74
