Object Tracking Data File Mon, Sep 15, 2025 7:26 PM
X (pixels)  	Y (pixels)  
1035.49	176.03
1037.00	174.03
1035.48	177.67
1041.11	176.33
1039.32	175.54
1034.89	178.08
1035.13	174.22
1035.55	175.96
1036.28	181.67
1044.85	181.69
1044.83	182.65
1044.41	178.55
1047.30	178.20
1050.46	181.41
1051.49	178.82
1053.25	174.30
1057.52	174.43
1051.28	175.49
1052.80	174.54
1052.89	173.74
1054.06	172.23
1055.30	168.37
1056.41	168.89
1056.34	167.14
1060.25	167.92
1063.07	172.35
1058.94	174.77
1056.69	170.92
1055.04	166.79
1056.31	171.91
1058.74	173.02
1056.01	170.23
1055.19	169.37
1052.41	169.37
1051.09	164.46
1050.04	168.29
1051.69	168.27
1047.40	163.94
1053.11	161.90
1051.89	158.75
1053.81	158.50
1051.22	161.60
1055.19	157.74
1051.33	156.89
1056.82	163.18
1059.36	163.69
1055.65	158.27
1058.25	162.12
1057.85	167.89
1059.91	167.04
1058.51	161.23
1058.55	168.49
1059.59	177.41
1064.89	171.90
1066.78	176.33
1071.10	169.48
1068.37	166.72
1071.01	166.35
1075.39	160.95
1074.36	164.15
1075.95	162.35
1074.81	161.38
1071.98	161.43
1065.95	162.10
1067.58	158.85
1064.75	160.42
1065.27	160.17
1070.19	156.17
1075.88	153.81
1077.79	151.46
1078.68	153.99
1081.93	153.31
1086.13	151.82
1086.87	146.15
1084.82	145.90
1089.37	143.94
1087.04	141.69
1089.58	144.12
1088.78	147.55
1089.28	144.78
1088.54	147.52
1085.79	146.60
1085.61	151.51
1082.99	154.32
1082.62	156.39
1082.87	151.94
1082.64	154.06
1076.23	149.28
1081.84	151.36
1080.69	150.26
1087.28	151.51
1090.61	150.13
1092.10	147.21
1088.92	152.93
1087.40	152.08
1083.72	157.97
1086.66	152.50
1090.10	155.02
1085.42	156.30
1081.84	159.22
1081.42	163.14
1084.87	160.10
1086.32	157.23
1091.02	159.53
1089.61	157.53
1086.88	155.04
1085.69	156.14
1087.22	158.38
1084.75	159.23
1089.59	161.44
1085.81	159.18
1084.17	156.70
1083.58	159.65
1085.35	167.79
1082.03	166.31
1082.91	166.73
1083.45	170.52
1083.60	168.99
1080.58	167.20
1083.71	166.97
