Object Tracking Data File Mon, Sep 15, 2025 7:33 PM
X (pixels)  	Y (pixels)  
1077.17	478.65
1072.63	478.96
1071.04	480.24
1067.61	483.85
1072.19	482.96
1065.55	485.27
1069.52	483.27
1073.65	485.65
1075.10	485.88
1075.52	484.40
1075.43	478.92
1068.99	485.76
1068.99	490.92
1073.52	489.63
1073.59	487.83
1074.36	490.81
1075.67	489.89
1080.66	486.07
1074.84	487.65
1076.22	486.78
1081.53	489.86
1081.50	490.96
1078.74	490.93
1076.82	493.38
1076.11	490.74
1077.41	493.13
1077.28	498.41
1075.49	499.22
1077.64	494.83
1081.51	494.23
1080.85	496.07
1083.48	500.10
1087.25	496.30
1084.29	498.48
1088.13	501.85
1088.33	504.70
1085.67	508.93
1090.60	510.12
1094.12	510.16
1089.42	508.25
1089.55	508.06
1091.71	507.75
1091.06	505.54
1087.79	511.09
1090.83	514.07
1085.38	515.91
1084.83	517.24
1076.09	521.80
1081.55	523.50
1087.99	524.91
1090.13	526.26
1089.36	529.32
1085.99	529.79
1087.12	537.20
1091.17	537.64
1094.02	537.93
1095.57	540.20
1087.63	537.62
1087.59	537.56
1085.17	541.71
1076.05	544.99
1078.33	542.41
1076.77	540.32
1082.51	543.13
1087.17	541.98
1084.63	539.74
1088.10	547.38
1090.76	549.25
1089.66	547.79
1090.79	552.94
1093.39	555.76
1095.88	551.33
1093.68	548.65
1092.37	543.86
1093.32	544.95
1093.34	541.95
1095.53	534.46
1094.91	536.88
1095.15	537.36
1098.95	542.76
1104.80	537.54
1110.59	542.60
1105.75	538.06
1104.81	542.13
1101.35	543.50
1099.77	546.26
1095.40	551.43
1091.87	556.29
1095.62	558.01
1094.16	554.57
1096.47	551.09
1091.53	553.52
1087.98	554.25
1091.69	553.51
1092.11	556.29
1094.20	556.02
1092.28	559.31
1085.88	556.47
1082.42	564.16
1079.92	559.41
1084.62	560.28
1083.62	562.04
1080.42	564.98
1080.70	567.00
1078.50	566.54
1082.11	564.85
1079.12	571.50
1080.55	567.21
1081.84	564.27
1073.19	564.08
1071.23	563.23
1073.02	560.46
1074.95	557.45
1074.79	557.85
1076.74	551.44
1074.07	557.75
1066.01	563.51
1063.24	563.79
1060.95	567.59
1065.29	574.90
